Tweet	Country	Topic	Sentiment	Sentiment_Expression	Sentiment_Target
""" مهما تعطيك الحياة، حتى إن كان مؤلماً، انهضي وكوني قوية وتصرفي وكأن كل شيء على ما يرام. . تذكري أن الجدران القوية ق… https://t.co/JES6vMZSSH"	palestine	personal	positive	explicit	مهما تعطيك الحياة
"""الذاكرة هي أحياء شيءٍ قديم ، . أما التخيل فهو ابتكار شيء جديد"" . سمو الأمير الحسن بن طلال . #معرض_ألف_اختراع_واختراع… https://t.co/U91ELazz3D"	jordan	personal	positive	explicit	ابتكار شيء جديد
@tawba_shaban أنا عن الي بتحكي عنهم قصدي. الفكرة، مو كلنا النا نفس طريقة التعبير، ومو كل التفاصيل بتثير اهتمامنا وإع… https://t.co/41SN4HMcWe	syria	personal	neutral	none	none
#جنبلاط عبر تويتر: من اجل التاريخ كي لا ندخل في المجهول افضل تسوية لاستقرار لبنان هي حكومة الوحدة الوطنية الحالية ولن ازيد	syria	politics	positive	explicit	لبنان
@saadhariri لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه	jordan	politics	positive	explicit	['عشتم وعاش لبنان وعاشت المملكه السعوديه', 'نص التغريدة: @saadhariri لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه', 'لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعودي', 'انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه', 'لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه']
قال زهير بن أبي سُلمى:. ثلاثٌ يعزُ الصبرُ عند حلولِها … ويذهلُ عنها عقلُ كلَّ لبيبِ. خروجُ اضطرارٍ من بلادٍ يحبها … وفرقةُ إخوانٍ وفقدُ حبيبِ	jordan	religions	neutral	none	none
سيتيح الكلام للاسفاف وعدم ايصال الفكرة بايجاز، وسيفقد #تويتر اهم ميزة فيه يتمايز فيها عن غيره من المنصات. #تويتر_280_حرف	syria	personal	very_negative	explicit	 وسيفقد #تويتر اهم ميزة
@Dr_abdoty يا كبتن مش لانك انت الخبير تتفلسف ع خلق الله .. بتقدر توضحلو مش تيجي اضحك العالم ع حساب اللي غلط و سأل واحد مثلك	syria	personal	very_negative	explicit	الخبير
بالأمس حسن بلا صراخ و #ايران تغلق مكاتب لمؤسسات وهيئات حكومية لها في #الضاحية_الجنوبية اليوم وتتقل موظفيها لمناطق غير معلومة.. #حزب_الله	jordan	politics	neutral	none	none
موعدكم #الآن مع مسلسل #عاصمة_عبدالحميد . على قناة #فورشباب . لمشاهدة البث المباشر . https://t.co/W8mokH3uhT https://t.co/lnX7cbhu47	lebanon	entertainment	neutral	none	none
البني ادم اللي عنده جلطه دماغيه . شو تخصص الدكتور اللي لازم يروحله ؟ ومين في دكاتره عنا بمستشفى الجامعه أو المدينه ؟	lebanon	personal	neutral	none	none
#زيارة_الاربعين. الله سبحانه قدمهما معا فقال في المباهلة : ابناءنا. ورسوله صلى الله عليه وآله وسلم ما اكثر ما كان يقو… https://t.co/GsMh7NYwIP	syria	religions	neutral	none	none
صور من اليوم الثاني للورشة التدريبية التي قدمتها جينوم بالتعاون مع منظمة @ACTED. في إربد بعنوان : بناء التحالفات و ا… https://t.co/KNvdoHk5VT	lebanon	entertainment	neutral	none	none
بنظر الآخرين ان الاستفتاء جلب الدمار ل #كوردستان ولكنهم بعيدين كل البعد عن الحقيقة التي ستبقى توجع أعداء #الكورد لا… https://t.co/VYQwmtGjTb	syria	politics	negative	explicit	الاستفتاء جلب الدمار ل #كوردستان
كُن شَاكرا مهماكانت الأَزمَاتْ واصْبِر فَالمُعجزة تحدث فِي ثَواني لاَ سَنوات ربمآ آليوم ربمآ غداً ربمآ يوم مآ فھي آن ضآقت لابُـد ٲن تفرج	syria	personal	positive	explicit	كُن شَاكرا مهماكانت الأَزمَاتْ واصْبِر
@walidjoumblatt شو هالوحدة يلي كل وحدة بميل. انتوا زعما الحرب تبعلوا 8 و14 شو اسمو يلي خربتوا لبنان حلوا عن ربنا ونحا مندبر حالنا	syria	politics	very_negative	explicit	خربتوا لبنان
أيا عمر الفاروق هل لك عودة.. فإن جيوش الفرس تنهى وتأمر... يحاصرنا كالموت مليون كافر... ففي الشرق هولاكو وفي الغرب قيص… https://t.co/dBPbk0ruxq	syria	politics	positive	explicit	ن جيوش الفرس تنهى وتأمر..
ما يقدمه الانسان في هذه الحياة غالباً ما يكون نتاج تربيته. وثقافته وفهمه لأصول العيش في هذه الحياة ومن هنا قد. نلاحظ… https://t.co/TlwKDde7C2	palestine	personal	neutral	none	none
قال صاروا خايفانين على لبنان.. طيب شو أول مرة؟ ما نحن شعب خلقنا من حروب عشنا بصراعات بحياتنا ما كنا مستقلين وكل حياتنا منقسمين ومحكومين!	lebanon	politics	very_negative	explicit	خلقنا من حروب عشنا بصراعات
كل الإنجازات والمشاريع المستقبلية ستعلٌق إلى حين تأليف حكومة جديدة والأهم الإنتخابات أصبحت في خطر من إجرائها مع الأسف #شو_رح_يصير	lebanon	politics	negative	explicit	الإنجازات والمشاريع المستقبلية
خمس دقايق وينزل الامفي يا يغير نفسيتي وامدحهم يا اليوم كله اكعد اسب بيهم 🙄 كرهتهم بعد المؤتمر وزعلت عليهم لايكلموني بعد. #슈퍼주니어_BlackSuit	jordan	personal	very_negative	explicit	كرهتهم بعد المؤتمر
#كاس_العالم_حيوحشنا_٥. الجمهور لن يتوقف أبداً و سيكون ضد سياسة تركي الشيك #الأهلي خط أحمر و لن نرضى بذلك ابداًو لن نتوقف .	palestine	sports	very_negative	explicit	ن ضد سياسة تركي الشيك
طبعا وأنا صغير كنت مفكر حالي بطل من أبطال ال Snowboarding (سدر بوردينغ). لحد ما إجت الحقيقه الصادمه ومع أو ثلجة فضيح… https://t.co/YPV1WaYWTE	lebanon	personal	negative	explicit	لحد ما إجت الحقيقه الصادمه
13 سنوات موت وقتل ودمار بسبب هذا الحيوان الكافر استلم حكم دولة محتلة من امريكا ودمرهه اكثر #العراق #نوري_المالكي… https://t.co/fL5Z3wKx7S	jordan	politics	negative	explicit	وقتل ودمار بسبب هذا الحيوان
من الطبيعي أن ترى السفينة في الماء لكن من الخطر أن ترى الماء في السفينة فكن أنت في قلب الدنيا ولا تجعل الدنيا في قلبك .	palestine	personal	neutral	none	none
اللهم انى اعوذ بك من ان تتركنى ف سكره او تأخدنى ع غره او ان تجعل موتى فجأة ،اللهم ارزقنى قبل الموت توبة وعند الموت… https://t.co/PwtvawC5Yo	palestine	religions	neutral	none	none
تغييب الدولة المدنية ، دولة الدستور و القانون و الحق لتتقدم دويلات الطوائف و المذاهب و الميليشيات الى الاستئثار بالحكم سيولد حتماً الانفجار	syria	politics	very_negative	explicit	الدولة المدنية
ولي العهد السعودي محمد بن سلمان: تزويد إيران الميليشيات بالصواريخ عدوان عسكريّ مباشر	syria	politics	negative	explicit	تزويد إيران الميليشيات بالصواريخ
سيناريو تصفية المعارضين بحوادث السيارات و الطائرات سنه صدام مع ( محمد بن البكروعدنان خيرالله )؟وسار علية محمد بن سلمان مع منصور بن عمه مقرن!	syria	politics	very_negative	explicit	بحوادث السيارات
رئيس الرابطة المارونية انطوان قليموس من بكركي: البطريرك #الراعي صمام الامان لكل المفاصل التاريخية التي يمر بها الوطن	syria	politics	very_positive	explicit	البطريرك #الراعي
@BaselNassri اوووه بس شغل حكي 🤦🏾‍♀️هي ربنا الله مواصفات السيارة سفاح بس برضه كثير مطولة ل تنزل او يشتروها الناس بتس… https://t.co/DWhK2LeDzy	jordan	personal	negative	explicit	مواصفات السيارة سفاح بس
@alsunied06 ماشاء الله .. ألف مبروووك يادكتور . تستاهل ..زادك الله علماً ورفعة ونفع بك. ونسأل الله أن يجعلها عوناً لك على طاعته .	jordan	personal	very_positive	explicit	علماً ورفعة
ترا لما أكون مش طايقة حالي وتدعس على اجري مش بالقصد وتتأسف وأحكيلك بسيطة بكون مش بسيطة وسبّيت عليك ع فكرة.	jordan	personal	negative	explicit	وأحكيلك بس
@Zeina_Karam الله يستر من القادم هل تكون استقالة سعد الحريري مقدمة لضربة اسرائيلة نهائية لحزب الله وتنظيف المجال… https://t.co/k3ZYFNbIFw	jordan	politics	negative	explicit	مقدمة لضربة اسرائيلة
🌸🌸🌸🌸🌸_. اللهم إن لم نحسن بدعائنا فأنت أعلم بحاجاتنا وإن قصرنا فسبحانك تعلم غاياتنا ولا يخفى عليك شيء من أحوالنا أجبر خواطرنا بفيض نعمك💓💞💞	lebanon	religions	positive	explicit	اللهم إن لم نحسن بدعائنا
@IRAQFA. ثالثا أنتم في كل موسم تجعلون الدوري العراقي أطول دوري في العالم وهو يتكون من 20فريق. فكيف اذا كان الدوري 30فريق. تحياتي لكم يا فاشلين	jordan	sports	negative	explicit	تحياتي لكم يا فاشلين
@ من المستحيل أن يذهب لـ غيرك شيء قد كتبه الله لك، فاطمئن لا تحسد لا تحقد، وعش بـ قلب أبيض نقي ونيه صافيه وكن مع ال… https://t.co/5Gssbb9qdN	jordan	personal	positive	explicit	عش بـ قلب أبيض
دع الفلسفة لأهلها ··. وتكلم مع الله ببساطة، وأطلب منه وألح عليه، كما يطلب الصغير المدلل من أبيه ما يريد !	jordan	personal	positive	explicit	وتكلم مع الله ببساطة،
@Rawia_1979 يبدو أنك فهمتِ خطأ ... هدف الورشة معرفة التأثير الإيجابي لدعمه وتحديد التأثير السلبي لمعالجته .. ولم يت… https://t.co/3rQRezKMmf	palestine	personal	negative	explicit	التأثير السلبي
@TheRasputin2017 @YouTube الها هفوات وسقطات هي تطمع ان تكون الاولى لكن ليس بالاسلوب الرخيص وانا هذا ما اعلمه منها من خلال صداقه تجمعني بها	lebanon	personal	very_negative	explicit	تطمع ان تكون الاولى
#رؤيا تحاول السلطة الفلسطينية والحكومة ان تفرق بين اراضي ال 67 والاراضي داخل مناطق ال 48 حيث يركز الطرفان ان لا بيع… https://t.co/kqUH2q4sDJ	palestine	politics	neutral	none	none
إبراهيم العساف تولى منصب وزير المالية منذ 1996 وحتى 2016. وكان أحد أهم منظّمي فساد ونهب #ال_سعود طيلة هذه الفترة. وعن… https://t.co/eDecuk1Ful	jordan	politics	very_negative	explicit	إبراهيم العساف
@AlaHamdann بعمل block لما يكون الشخص مزعج بطريقة غير مبررة و إن تدخل في شؤوني خاصة ، لكن قائمة ال blocked ليسوا كُثر. الحمد لله	palestine	personal	negative	explicit	لما يكون الشخص مزعج
لو تبص ع امك وهى قاعدة سرحانة هتعرف اد ايه هى شايلة جبال من الهموم وساكته وكاتمة جواها ، يارب ابعد الهم والغم عن قلب كل ام ❤✋	jordan	personal	positive	implicit	قلب كل ام
الله يفرجها علينا مااصعب الأنتظار... ناطرين كلام السيد حسن سيد الكلام . وناطرين بالستي يمني يطير بقية الأمراء السابقين والصبي سعد ههههههههههه	jordan	politics	positive	explicit	الله يفرجها علينا مااصعب الأنتظا
ربنا لاتزغ قلوبنا بعد إذ هديتنا وهب لنا من لدنك رحمةً إنك أنت الوهاب... ربي اغفر لي ولوالدي وللمؤمنين والمؤمنات يوم… https://t.co/18n43Qu41T	palestine	religions	very_positive	explicit	ربنا لاتزغ قلوبنا 
إذا كان البشر يفعلون الخير فقط لأنهم يخشون من العقاب ، ويتمنون مكافأة فى المقابل ، إذا فنحن كائنات مثيرة للشفقة حقا .	syria	personal	negative	explicit	إذا كان البشر يفعلون الخير
ع سيرة بتر الأيدي والعقاب، أكتر شي بيلعبو بصابيع إجرين، وبستعيد قول جرير بالفرزدق:. زعموا الفرزدق أن سيقتل مربعًا. فابشر بطول سلامة يا مربع.	lebanon	personal	negative	implicit	بتر الأيدي
@ii_moO3ath معاذ تسع مجموعات أوروبية يعني تسع منتخبات تتأهل مباشرة وثمانية يلعبون ملحق كذا ضَل مجموعة وحدة ما اخذو… https://t.co/0iGbBYmVa9	lebanon	sports	neutral	none	none
لو في عنا دوله وعندها كرامي كانت هي بطلب بسعد الحريري وبتطلب محاكمة على الاهاني الي سببها لدولة ولشعب البناني	syria	politics	negative	explicit	الاهاني
الله يستر البرايم الخامس كان خروج فارس وبكيت وغبت عن المدرسه اي وصح للحين ماانسى فقره المطبخ كان برا واحتريت فارس ل… https://t.co/jnEKloeV5O	palestine	entertainment	negative	explicit	البرايم الخامس
@HFkHP2GH مساء جميل وليله اجمل واسعد شكرا لك على المتابعه هذا دليل على رقي شخصيتك ونقاء قلبك وصفاء روحك وطيبة اخلاقك وثقافتك المميزه	jordan	personal	very_positive	explicit	وطيبة اخلاقك وثقافتك المميزه
الخارجية الأميركية: ندعم حكومة لبنان لكننا نعتبر حزب الله منظمة إرهابية ولم نتلق إخطارا مسبقا بقرار رئيس الوزراء اللبناني الاستقالة	syria	politics	negative	explicit	حزب الله منظمة إرهابية
عاجل| حركة #الجهاد_الإسلامي: نجدد عهدنا لجماهير شعبنا بالمضي قدما في خيار #المقاومة حتى تحرير وطننا بالكامل. #فضائية_فلسطين_اليوم #Balfour100	lebanon	politics	positive	explicit	المقاومة
#نسور_قاسيون. يلا ياااا رب بدنا غوول تاني يا سومة هالفريق بعزيمتو وشجاعتو بستاهل يكون بكأس العالم حارب كل الظروف قلوبنا معكو وانشالله حتربحو	lebanon	sports	very_positive	explicit	قلوبنا معكو
نبارك من القلب❤️ لمنتخب #المغرب 🇲🇦الشقيق التأهل لكأس العالم في #روسيا_2018 . عشت في الاوطان &amp; للعلى عنوان. ملء كل جنا… https://t.co/d05NSSo1DZ	palestine	sports	very_positive	explicit	أهل لكأس العالم في #روسيا_2018
لو تخلى كل اناني عن انانيته وكل طماع عن اطماعه. وانتبه كل انسان لافعاله وصحح كل عوج في حياته لأنصلح. حال كل الافراد و… https://t.co/KlDJnbTAH7	palestine	personal	positive	explicit	 كل ا
تم قبول الشيخ / #ناصر_ بن_عبدالله_ ابن_ زيد ، في#كلية_الملك_فهد_الأمنيه دورة الظباط الجامعيين ، مبروك والله يوفقه لخدمة دينه ومليكه ووطنه .	palestine	politics	very_positive	explicit	ناصر_ بن_عبدالله_ ابن_ زيد
@DrIbrahimG العفو دكتور هذا أقل الواجب كنت أتمنى فقط لو شرفت بلقاء #أمي_نورة والتتلمذ على يديها رفع الله درجاتها في… https://t.co/y6N9cwj5SV	syria	personal	positive	explicit	هذا أقل الواجب
اللهم أنصر نيمار و باولينهيو والشباب المحترمة على تشيلي، اللهم تعادل بيرو و كولومبيا، اللهم ثبت خطى ميسي و ماسكيرانو والشباب الوردة 🙏🏽❤️	lebanon	sports	positive	explicit	ميسي و ماسكيرانو
الجيش ب #زيمبابوي يمسك السلطة ويحتجز الرئيس موغابي . مع العلم ان الجيش يقول سوينا هالشي عشان نقفط المفسدين بطانة ال… https://t.co/0mjJ1oErLs	palestine	politics	negative	explicit	الجيش ب #زيمبابوي
يا الله ارزقني حُبك، وأرزقني عونك ورضاك، اللهم لُطفك، اللهم الحاجه كُل الحاجه إليك، اللهم هُداك وذكرك وتيسيراً لا ي… https://t.co/zxcH1iA56x	syria	religions	positive	explicit	يا الله ارزقني حُبك،
#نايف_الشواطي. برنامج لنسخ اي رابط من تويتر انستقرام يوتيوب وحفظها بالاستديو مباشره . الرابط هنا 👇… https://t.co/AE4FNjjRDj	jordan	personal	neutral	none	none
ما اجمل شعور تروح مع سايق بك اب عايف حاله من الطفر و بيشكي من كل اشي . الك خاطر ترمي حالك و تنتحر 😭. بكل اشي بيفهم و كل الناس مرتشية 😂	jordan	personal	negative	explicit	بيشكي من كل اشي
@DijlahTv ليت اهالي الموصل والانباروصلاح الدين وديالى وكركوك - يوفوا لاهل الجنوب ما قدموه من شهداء لتحرير مدنهم واهلهم من الدواعش /كالكلاب	jordan	politics	negative	explicit	اهالي الموصل
الدولة السعودية لا تتعلم بقول المثل التكرار بعلم الحمار. الا هولاء كل قرارتهم. تصدر من الكر ولم يتطور ويصل الى مستوى الحمار	lebanon	politics	very_negative	explicit	قول المثل التكرار بعلم الحمار
@iAbdullah_24 😂 😂 😂 😂 . والله اشي بقهر انو كل هل الانتقادات ع بنزيما وكل اشي . واخر اشي زيدان بحكي انو هو المهاجم الافضل ذ	palestine	sports	negative	implicit	
تعلمو يا #لبنان شو ناقصنا لنصير زي مصر .. الاعب اللبناني مفكر حالو ميسي كتير علينا اسيا يا حرام ... لك نحن وين و المنتخبات الباقية وين	lebanon	sports	very_negative	explicit	#لبنان
لمن يهمه الأمر من المتابعين لتغريداتي على تويتر معرفة تاريخ ميلادي في طرابلس لبنان هو كما يلي:. 7ايلول من عام 1936(صورة البروفيل حديثة 2014)	syria	personal	neutral	none	none
لم تسجل اَي زيارة لأي مسؤول أو شخصية مقربة من #الحريري الى #السعودية منذ استقالته وعائلته طلبت وساطة فرنسا لدى الس… https://t.co/PhvfvelceI	syria	politics	neutral	none	none
فديت وقتن حط في دربي رفيق . واحدن يضحك معي واضحك معه . واحدن لا صار وسط القلب ضيق . بالسوالف والمزايح وسعه . وان حكى با… https://t.co/3ZoemqdWCe	syria	personal	very_positive	explicit	واحدن يضحك معي واضحك
في حزة العصر جاني رساله رسالتً مؤلمه يا الله تعيني. شي يخص الهلال وباقي احواله . إصابة إد… https://t.co/xKokrpvihn	palestine	sports	negative	explicit	يا الله
لوكنت مكان البعض ولم يأتهم الدور . لذهبت لولي العهد. واخبرته أن الشيطان شاطر .... وانه مستعد للتنازل عن ثلاث ارباع ثروته.. #الملك_يحارب_االفساد	jordan	politics	very_positive	explicit	الشيطان شاطر
إحفظ كرامتك ولا تفرض نفسك على أحد فمن يريدك سيبحث عنك وسط الزحام ///ومن لا يريدك لن يراك ولو كنت أمام عينيه ///	lebanon	personal	neutral	none	none
عضو كتلة الوفاء للمقاومة النائب علي فياض : اعدنا تأكيد رفض الزيادة على ضريبة الـtva واحد بالمئة ونعتبر انه ليس لها. ▪ #اليمن_صرخة_حق	lebanon	politics	neutral	none	none
@kataeb_Ar ولا يمكن للوضع المالي ان يستقر قبل اخراج حزب الشمس الايراني من لبنان لا يمكن لعباد الشمس ان يفهمو الحضاره تسقط ايران	lebanon	politics	very_negative	explicit	لا يمكن لعباد الشمس ان
@oWll3pVNIh9bM9e شعاع من بريق يلف النور والندي وغيمت خريف تمطر علي الهده وحلم ضاع من عمري مري به كانه لحظه من حدا م… https://t.co/MHKJRYfXCh	lebanon	personal	neutral	none	none
﴿ قُم الليل إلا قليلا ﴾ تكلَّم بما في قلبك، واطلب ربَّ السموات ما شئت؛ إنه قريبٌ منك ويستجيبُ لدعواتك. . #الوتر جنة القلوب 🌸.	jordan	religions	positive	explicit	قُم الليل إلا قليلا
"ينادي بصوته رغم الامطار شدة سائراً ""كعك ..كعك"" ليعود لمنزله فرحاً بما باع وان كان مبلغاً زهيداً فيكفي انه سد جوع اس… https://t.co/GofWfQCsWA"	lebanon	personal	positive	explicit	سد جوع
#كاس_العالم_حيوحشنا_٥. 💚👑 : الحين تركي يقول ان المبلغ اودع تاريخ ٢٨-١. 💚👑 : صح. 💚👑 : وقبل دخول فترة الحرة. 💚👑 : صح . 💚… https://t.co/cTduUnq1vN	palestine	sports	negative	explicit	كاس_العالم_حيوحشنا_
@BarcaArabNet ماعتقد يرجع بسبوع او بسبوعين يحتاج اكثر من ذالك يحتاج مرونة في ساقيه و قدمين	syria	sports	negative	explicit	ماعتقد يرجع
القائم عادت عراقية ، البو كمال سورية .. الخطة الامريكية الإسرائيلية لتفتيت وتدمير الشعوب تهوي فاشلة .. دماء الشهداء المحررين انحناء لارواحكم	syria	politics	positive	explicit	الخطة الامريكية الإسرائيلية
@hamasinfo شي مضحك قصدك ندعو الدوله الفارسيه للوقف مع الشعب . أين العروبه التي تتحدثون عنها سوف تندمون . ندم الأيام ا… https://t.co/53YFfbvVEj	palestine	politics	very_negative	explicit	الدوله الفارسيه
@shwshaotbi لانه باع ضميره وصار تابع لهاني وعاجبه هاني وبده يصير مقدم مع هاني وحاتم بده يدقق له ديوانه كل هاد من دون مقابل شو المقابل ؟؟؟؟؟	palestine	personal	very_negative	explicit	حاتم بده يدقق له ديوانه
موسكوفيسي يدعو الاتحاد الاوروبي لانهاء قائمة الملاذات الضريبية السوداء في 2017 https://t.co/lxZWUkrLiN. #أخبار_دولية https://t.co/nLquL72ynH	syria	politics	neutral	none	none
بلد عزيز بل حبيب الى قلبي يشهد انتفاضة اصلاحية مباركة وهذا جيد جدا ولكن قبل كل ذالك فليوقفوا الظلم في المحاكم وتسيير اعمال الناس وإعطاء الحق	lebanon	politics	positive	explicit	انتفاضة اصلاحية مباركة
@DesAshar مفروض يكون في مسؤولية أكبر لما الزوجين يقرروا يجيبو طفل عالحياة . مش نخلف ونرمي . في ناس بتشتهي الخلفة وناس بطرانة وبرمو ولادهم	lebanon	personal	negative	explicit	[': @DesAshar مفروض يكون في مسؤولية أكبر لما الزوجين يقرروا يجيبو طفل عالحياة . مش نخلف ونرمي . في ناس بتشتهي الخلفة وناس بطرانة وبرمو ولادهم', 'مفروض يكون في مسؤولية أكبر لما الزوجين يقرروا يجيبو طفل عالحياة . مش نخلف ونرمي . في ناس بتشتهي الخلفة وناس بطرانة وبرمو ولادهم', 'مفروض يكون في مسؤولية أكبر لما الزوجين يقرروا يجيبو طفل عالحياة', 'دعوة للاهتمام بالاطفال']
"يحيى رباح: ""السلطة الفلسطينية تعتزم رفع كفاءة الأجهزة الأمنية في قطاع غزة من خلال دورات ومعسكرات مغلقة ستركز على اللياقة البدنية"	jordan	politics	neutral	none	none
تعثرنا ونهضنا .. بكينا وضحكنا .. شعرنا بالحزن والفرح .. هذه هي سنة الحياة وكل ما يحدث في حياتنا لحكمة يعلمها الله ل… https://t.co/KQEqRCxZRu	jordan	personal	neutral	none	none
ثلاث سنين مراجعه ولما تقرر موعد العملية اسفين الطبيب تقاعد وثلاث سنين اخرى عند طبيب اخر ولما تقرر موعد العملية اسفين الطبيب سافر #يعتبر_فساد	jordan	personal	very_negative	explicit	#يعتبر_فساد
حكاية اخر #ملوك_ال_ سعود محمد بن سلمان @ فبعد تصفيته الخصوم سيتم الحجر على ابيه #الملك_سلمان بدعوى عدم الاهلية وبذ… https://t.co/kRGSdUOwAD	syria	politics	very_negative	explicit	حكاية اخر #ملوك_ال_ سعود 
اللهم إنّ خادم الحرمين و ولي عهده رفعوا لواء الحرب على الفساد،فاللهم أمددهم بعونك ونصرك على كل من خان القسم والوطن.… https://t.co/INLx1sFty8	palestine	politics	positive	explicit	رفعوا لواء الحرب على الفساد
شو بتحبي تشربي Demoiselle ؟. بعتذر أنا خاطبة. ولك يا غبية أنا لWaiter. ولك يا هبلة مش كل واحد حكاكي يعني عريس ممكن يكون Waiter ف بلا هبل	lebanon	personal	negative	explicit	ولك يا غبية أنا لWaiter
@Xeneize1O بشكل غير مباشر أجل ههههههههههه. بعض الناس غابوا فترة من التويتر عشان إنتكاس فريقهم 😬	syria	sports	negative	explicit	غابوا فترة من التويتر
#طرب_مع_مروان_خوري من المتواقع ان كارول سماحة ومروان خوري سيقدمان ديو جديد هل سيكون في طرب مع مروان الجمعة القادمة https://t.co/dhbNo4wZYv	lebanon	entertainment	neutral	none	none
خالد على انت اللى قلت فى 2014 الانتخابات مسرحية والا انتخابات تحت الحكم العسكرى، ...راجع نفسك كده انت فى صعود نحو الهاوية	syria	politics	negative	explicit	الانتخابات مسرحية
أمريكا للتستر على فضاحتها و فضاحة العبادي التزم بالصمت تجاه احتلال كركوك من قبل ايران و تأيد تصريحات العبادي الذي لم يكون له اي فعل في كركوك	syria	politics	negative	explicit	فضاحتها
الحمدلله الذي سترنا الحمدلله الذي رزقنا يارب ان رأيتنا نبتعد عنك ردنا اليك ردا جميلا يا الله لاتتركنا وحدنا ولاتزغ قلوبنا بعد اذ هديتنا	jordan	religions	positive	explicit	الحمدلله الذي سترنا الحمدلله
ستبتسم لنا الأيام، سيغدقنا رب السماء بفرح من حيث لا نحتسب سنفرح ونضحكك ونبتسم سيباغتنا الله بعطايا تدهش ظنوننا .. فقط أبقوآ متفائلين .	palestine	personal	very_positive	explicit	سيغدقنا رب السماء بفرح
لم أنتظر أحداً وتأكد لن أنتظرك وقتي لا يتسع للحزن أبداً فإن أردت القرب أو الإبتعاد فهذا خيارك لوحدك انا أُحب القريب وأنسى البعيد.	jordan	personal	neutral	none	none
#العربية : لن نسمح لميشال عون الرئيس المسيحي أن يقرر مستقبل #لبنان. أصلاً من أنتم لتسمحوا أو لا تسمحوا ؟ أنتم لستم سوى عبيد عند أسيادكم	syria	politics	negative	explicit	['لن نسمح لميشال عون الرئيس المسيحي أن يقرر مستقبل #لبنان.', 'استنكار', 'لن نسمح لميشال عون الرئيس المسيحي', 'العربية', 'لن نسمح لميشال عون الرئيس المسيحي أن يقرر مستقبل #لبنان. أصلاً من أنتم لتسمحوا أو لا تسمحوا ؟ أنتم لستم سوى عبيد عند أسيادكم']
يُنتظر أن ترسل لجنة المسابقات في اتحاد كرة القدم، خلال الاسبوع الجاري، كتاباً الى ديوان… https://t.co/95aC5UxcG5	jordan	sports	neutral	none	none
#لبنان سؤال .منذ متى والحصار على ايران الاسلام المحمدي الاصيل وليس المزيف بعد ان كان شرطيهم الشاه يلعب عوضا عنهم .الى الان رغم ذلك تتقدم	jordan	politics	negative	explicit	الحصار على ايران
يارب ارحم شهداء المعابر من ابنائنا والعنة على الطائرات التى تستهدف الابرياء #كانو-يهربون-من-الموت-بس-الموت-كان قريب؟ https://t.co/RRJEmyFld2	syria	politics	very_negative	explicit	#كانو-يهربون-من-الموت-بس-الموت-كان قريب
دوري ابطال اسيا ٢٠٠٦. كأس الاتحاد الاسيوي ٢٠٠٩. تصفيات كأس العالم ٢٠١٠. كأس اسيا ٢٠١١. وهلق تصفيات ٢٠١٨. استمرار للفشل وقلة الحظ ببلد مالو حظ بشي	lebanon	sports	negative	explicit	الاتحاد
@khalidalanaze الله يبشرك بـ الخير والله يرفع قدرك قربت تنجلي الغمه بإذن الله بفضل الله ثم بفضل سمو سيدي ولي العهد… https://t.co/Jd7Wi9lONx	jordan	personal	positive	explicit	الله يبشرك بـ الخير والله
اللهم إنا نسألك في يوم الجمعة خبر يشبه المطر وفرحة تمحي كل حزن ، وفرج لكل صابر ، وشفاء لكل مريض ، وإستجابة لكل دعاء ، إنك على كل شيء قدير ♥️	palestine	religions	very_positive	explicit	يوم الجمعة
#السعوديه على الامم المتحده ان تضع هذا النظام السعودي تحت طائلة البند السابع لانه اصبح كً الكلب المسعور ينهش بجيرانه وإخوته وحتى اهل بيته	jordan	politics	negative	explicit	النظام السعودي
@arooj__b يعني الهدف اظهار فرحات على إنه مش وحش و في مواقف ممكن يضعف فيها أو حتى أشخاص! و مع هيك بعد فترة رح يرجع ز… https://t.co/vHplciMZVb	palestine	personal	negative	explicit	الهدف
تحس نفسك فاشل 🖕🏼(اني ماجابر احد انو يحبني ولا اقنع احد يحبني بس اريد ايحس بالي داعلني) It’s ok 👍🏻 ☹️ ( I’m not goo… https://t.co/y4IMTZZilU	jordan	personal	very_negative	explicit	 اريد ايحس بالي داعلني
فيلم عن مجموعة طلاب تم إحتجازهم بقسم الجراحه بمستشفى الجامعه الأردنيه . هل يستطيعون الهروب ؟ هل يقدرون على هزيمة نظ… https://t.co/ds8QI2vIoD	palestine	entertainment	negative	explicit	مجموعة طلاب
اللهم جنبني سواد القلب وموت الضمير و سوء الخاتمه اللهمَ اكتبني من الذين انعمت عليهم بنعمة الهدايه و جعلتهم من لا خوف عليهم ولا هم يحزنون	palestine	religions	neutral	none	none
