sentiment,txt
0, هادي  ال+ اخوه  ال+ صادقه
1, الله  الله  ياشيخ  ابراهيم  .  .  حكم  و+ الله  يسعد  مساك  يارب
0, و+ لا  شكل  و+ لا  صوت  منين  جايبينهم  هالكاءنات  ال+ غريبه  !  !  !  !  !  !  !  !  !  !  !  !  !  !  اه  يابطني  بس
0, ليش  معصب  يا  عدول +ه
0, هاض  بني  ادم  حقير
0, اضحك  تضحكلك  ال+ دني
1, راغب  يجنن
0, جهنم  و+ ب+ اس  ال+ مصير
0, شيء  مءسف  الله  يهدي +ه
0, س+ اتر +ك حب +ك ليس  كرها  في +ك و+ لكن  ل+ كثره  ال+ شركاء  في +ه
1, ف+ شرت  عين  ال+ شيعه  و+ الله  بنحرقهم  حر
0, مابتحكي  مع +ه هيك  انزلع  ل+ اعاد  اشووفك  جلطت +ني
0, اكيد  لا  دي  نعم +ه رب +نا يديم +ها علي +نا
1, اللهم  قونا  علي  نفوس +نا ال+ ضعيفه
1, يخفي  صناءع +ه و  الله  يظهر +ها
1, يارب  اخرجنا  من  ذل  ال+ معصيه  الي  عز  ال+ طاعه
1, و+ الله  كذب  من  سوبر  ستار  ال+ قذر  هذا
0, هل  ال+ ثقه  ب+ ال+ مشتركين  زايد +ه ل+ درجه  ال+ عمي  او  ان  محيط +هم يجاملهم  ب+ جمال  صوت +هم !  !
0, عليا  ال+ نعمه  ابدا  لا  هو  و+ لا  ال+ خروف  ال+ تاني
0, ال+ سعي  وراء  ال+ رزق  عباده  و  جهاد
1, يلعن  ابو  ال+ تفاهه
0, اسال  الله  في  علاه  ان  يحفظ +كم ب+ ما  يحفظ  ب +ه عباد +ه ال+ صالحون
1, الله  يقوي +ك
1, ايه  راح +ه في +ها ال+ مسكين  ياحرام
0, حكي  جرايد
0, صح  يا  اخ +ي صدقت  الله  يعين  ال+ جميع
1, صباح  ال+ ورد  الجوري  ال+ حمر  و+ ال+ خمري
1, جزي +ك الله  كل  خير  دكتور  عمرو  و  رب +نا يتقبل  من +نا و  من +كم ساءر  ال+ اعمال
1, يا  رب  تقوي +نا علي  طاعه +ك
1, سخاف +ه
0, قص +ه في  غايه  ال+ روعه
1, نعم  ال+ صديق  ال+ وفي
1, كل  سن +ه و+ انتم  طيبين
1, اللهم  احينا  و+ امه +نا علي  ال+ اسلام  و+ علي  كلمه  لا  اله  الا  الله
1," ""  ال+ بعض  يعتقد  ان  ال+ مفاعل  ال+ نووي  س+ يحل  مشاكل +نا ال+ اقتصاديه  و+ لكن  ال+ اردن  لا  يمتلك  موارد  ماليه  و+ هذا  يعني  ال+ حاجه  ل+ شريك  اجنبي  ""  ""  كما  اعلنت  هيءه  ال+ طاقه  ""  ""  يملك  غالبيه  ال+ اسهم  كما  في  تركيا  علي  سبيل  ال+ مثال  و+ ذلك  يعني  ان  هذا  ال+ شريك  س+ يمتلك  ال+ جزء  ال+ اكبر  من  ال+ مفاعل  و+ لن  يكون  ملك  ل+ ال+ اردن  و+ ب+ ال+ تالي  س+ تقوم  ال+ حكومه  ايضا  ب+ دفع  تكاليف  ال+ كهرباء  ل+ ال+ مستثمر  و+ ب+ ال+ تالي  ال+ مفاعل  ال+ نووي  لن  يوفر  ل +ك ال+ كهرباء  ب+ سعر  قليل  """
0," و+ من  احسن  قولاممن  دعالي  و+ عمل  صالحاووقال  ان +ي من  ال+ مسلمين  ,"
1, حرام  تحمل  اسم  عظيم  زي  هيك  !  !  !  !  !
0, اللهم  اجعلني  مقيم  ال+ صلاه  و  من  ذريتي
1, اللهم  اعصم +نا م  معصيه +ك
1, اول  واحد  ذكر +ني ب+ صاحب  اسم +ه قرده
0, ه  انا  من  ناحيتي  هاظ  ال+ انسان  الي  قاعد  بلنص  اقرف  واحد
0, اكيد  طبعا  حب  رب +نا احسن  من  حب  اي  حد  و+ انا  فعلا  عملت  كدا
1, الي  يقارن  بين +ه و+ بين  مرسي  يبقي  متخلف
0, قلولهم  هذا  سوبر  ستار  مش  مسابقه  ل+ بياع  ال+ خضار
0, ينور  علي +ك .  .  .  .  .  .  .  .  .  .  و+ يكثر  من  امثال +ك
1, صباح +كم تفاءل
1, يا  خساره  ال+ دقيقه  وثنين  و+ خمسين  ثانيه  ال+ لي  ضيعه +هن من  حياه +ي علي  هذا  ال+ مقطع  ال+ تافه  خ
0, قصه  جميله  جدا  تعكس  معني  ال+ ايمان  و  ال+ تمسك  ب+ ال+ عقيده  ال+ صحيحه  و  حسن  تعاليم +ها
1, الله  ع  ال+ كلام  ال+ جميل
1, نعم  رجل  ب+ همه  يحيي  الله  ب +ه امه
1, فعلا  ال+ لي  بيستحوا  ماتوا
0, لا  بتمزحي  يع  قرف
0, اللهم  ما  اعنا  علي  ال+ تغير
1, ربنا  يثبت +ه
1, قصد  و+ هو  كبير
0, اقرفني  و+ الله
0, يهدي  الله  من  يشاء
1, صباح +ك سعيد
1, ال+ راجل  الابس  ثوب  علي +ه جاكيت  شكل +ه مسطول  من  جنوب  ال+ سودان
0, اللهم  اجعلني  خيرا  من +ما يظنون  و  اغفر  ل +ي ما  لا  يعلمون
1, اقطع  راس +ها و+ خلص
0, ال+ ماء  هي  ال+ حياه
1, الله  يوخدها
0, و+ الله  شوي  وتجيني  جلطه  ل+ ما  ماطلعت  ال+ اولي  ذيك  ال+ مره
0, و+ ال+ شرهه  علي  ال+ اغبياء  ال+ لي  معطينك  لايك  .  .
0, ب+ تمني  لو  ان  تقوم  بعثه  ل+ ال+ دعاه  من  مصر  و  تزور  جميع  ال+ بلاد  و  تعرف +هم و  تشرح  ما  هو  ال+ دين  ال+ اسلامي  و  تنشر  ب+ حق  في  كل  مكان
1, مسخر +ه و+ الله
0, عفكره  البيج  هاد  قرف +ني و+ قلب  معده +ي شو  ل+ ال+ اسف  انتا  انو  عرف +ك ان +ه هيك  ال+ وضع  ب+ تفتح  ب+ ال+ فنجان  يا  ناس  خفوا  علي +نا ال+ دين  مش  للايكات  وكمنتات
0, ال+ معني  ال+ حقيقي  ل+ عاهات +ك يا  وطن
0, ربي  يكون  ب+ ال+ عون  يااخي  ف+ قد  احزن +ني كلام +ك
0, الي  من  اشكو +ك !
0, ان  من  صفات  ال+ اسلام  ال+ امانه
1, افعال  لا  تضاهي +ها اقوال
1, و  شباب  صايع  مو  ملاقي  ياكل
0, اهما  ود +هم يروحون  ال+ نار  لكن  ال+ نار  مارضت  في +هم
0, صح  علشان  كد +ه منكذبش  و+ نرتاح
1, يارب  يقوي +نا جميعا  علي  طاعه +ه و+ حسن  عباده +ه
1, انا  ب+ حب +ك في  ل+ الله
1, تحفه
1, اللهم  اهدنا  ثم  ثبتنا
1, الله  يسعد  كل  ال+ بشر  امين  يا  رب
1, بعد +ك ماشفت  اشي
0, ال+ دين  اخلاق
1, حفظ  الله  ابناء  و+ بنات  ال+ امه  جميع
1, ف+ انا  اناشد  ال+ حكومه  ال+ اردنيه  ب+ ال+ افراج  عن  اسري  ال+ سلفيين  التوحيدين  ال+ موجودين  في  سجون +هم
0, الله  يفضح  ام +كم فضحتونا  شو  هالسخافه
0, كتير  رخيص  و+ مقرف
0, كارثه  بشريه
0, فتح +ه و  نصره  و  نور +ه و  بركه +ه و  هدي +ه
1, عم  ال+ رجال
1, اترك  ما  تهوي  ل+ اجل  من  تخشي
1, صبح +كم الله  ياهل  ال+ طيب  ب+ ال+ خير  .  .  .  و  يسعد  ضحي +كم و  ال+ ظهر  و  ال+ عشيه
1, اخر  واحد  حسسني  ان +ي لازم  اطرش  او  اروح  ال+ حمام
0, هذا  سلامي  يسبق  ال+ برق  و  ال+ طير  .  .  .  في +ه ال+ حروف  معطره  ب+ ال+ تحيه
1, لجنه  زباله  من  .  .  .  .  .  .  .  اذا  بفهمو  ب+ ال+ فن  خاصه  ابو  ال+ نظارات  ال+ لي  مش  موجود  ب+ ال+ فيديو
0, و+ الله  ظلموه  لجنه  ال+ طراطير
0, ال+ حب  مش  ذل
1, بد +ك ال+ صراحه  و  ب+ دون  زعل  جهنم  و  ال+ زبانيه  من  ال+ ملاءكه  تنتظر +ك تموت  ل+ تشرب  من  فروج  ال+ مومسات  و  صديد  اهل  ال+ نار  ان  شاء  الله  يا  اوباش  سوريا
0, المومين  الي  بعض +هم ك+ ال+ بناء  ال+ زي  يشد  بعض +ه ال+ بعض
1, عيب  علي +ك ماتستحي
0, يا  رب  يا  خير  الرازقين  ارزق  اهل  سوريا  و  جميع  ال+ مسلمين  ال+ نصر  و  ال+ ثبات  و  ال+ تقوي
1, و+ الله  صحيح
1, تعليم  ال+ اطفال  علا  ال+ اغاني  و+ علا  ال+ رقص  بدلن  من  تعليم  ال+ قران  ال+ كريم  بدلن  من  تعليم  ال+ دين  الله  لا  يوفق +كم
0, صح  الصح  كمان
1, الله  يتءبل  صلاه +نا
1, ال+ حمد  ل+ الله  الذي  رزق +ني ب+ ال+ اسلام
1, الله  ايه  ال+ جمال  ده  سبحان +ك رب +ي
1, اخرسي  صحيح  ما  تفهم +ي
0, ساعات  ال+ لي  في  ال+ سر  هو  ال+ لي  بيخلي  ال+ ناس  تحبك  في  ال+ علن  من  غير  ما  يكونوا  عارفين  الا  ان +هم بيحبوك  من  غير  سبب
1, داءما  تبعث  ال+ نشاط  و  ال+ حيويه  في  ال+ نفوس  مع  كل  صباح  اسعد  الله  صباح +ك
1, الله  تعالي  معان
1, حفظ  الله  وطن +نا من  ايدي  ال+ منافقين  المتاردنين
0, كلام  حلو  و+ مشجع
1, صباح  @@ملءه@@ +ه ال+ خيرات  و  ال+ مسرات
1, سبحان  الله  .  .  اللهم  ارزقنا  ال+ طمانينه  و  ال+ يقين
1," لاتحزن  :  ف+ ان  ال+ حسنه  ب+ عشره  امثال +ها الي  سبعماءه  ضعف  الي  اضعاف  كثيره  ,  و  ال+ سيءه  ب+ مثل +ها الا  ان  يعفو  رب +ك و  يتجاوز  ,  ف+ كم  ل+ الله  من  كرم  ما  سمع  مثل +ه !  و  من  جود  لا  يقارب +ه جود"
1, ربنا  يقوي +نا و+ يقدر +نا
1, لا  و+ رب +ي صوت +ها غليظ  جدا
0, انا  ب+ حب  كل  ال+ ناس  و  بتمنالهم  ال+ خير
1, الله  يا  ريت  كنا  في  ذاك  ال+ زمن
1, يا  رب +ي هذا  مستحيل  يكون  كاءن  بشري
0, يارب  طهر  قلوب +نا
1, كلام  جميل  ال+ كرامه  افضل  و  ابقي  ل+ ال+ انسان
1, صباح  ال+ قشطه
1, الله  يلعن  الي  علم +كم ال+ تطور  يا  متخلفين  يا  رجعيين
0, كلمات +ك عذبه
1, يع  شوهاي  ال+ وساخه
0, و  ب+ حب  ال+ ناس  الرايقه  الي  بتضحك  علي  طول
1, هم  ال+ لي  مصخرو  انفس +هم
0, كدا  عيب  اود +ني راحت  في +ها
0, دلع
0, الله  يثبت +ك و  ينور  طريق +نا
1, عدول +ه السامج  هذا  خرب  اوم  ال+ مقطع  قسسم  زباله  هالادمي  و+ دم +ه زفت  انا  ضحكت
0, ربنا  يقدر +ني و+ يعفو  عن +ي
1, حالات  مرضيه  نفسيه  مستعصيه  لا  يستطيع  شفاء +ها لا  ال+ علم  و  لا  ال+ فن
0, طموح  ال+ انسان  يدف +ه ل+ تحقيق  اهداف +ه يا  رت  شبب +نا ما  يقولن  فات  ال+ وقت  و  الله  يوفق  من  يشاء
1, يا  حقير
0, جميل  جدا
1, انا  فعلا  قررت  واخدت  ال+ قرار  ده  و+ حاسه  ب+ راحه  و+ سعاده  كبيره  اوي  ب+ قربي  من  رب +نا ب+ جد  ال+ حمد  ل+ الله
1, هذول  مساجين  و+ لا  ايش
0, الحمدلله  و+ رب +نا يجعل +نا من  المداومين  علي +ها و+ ال+ خاشعين
1, اخذت  ال+ قرار  لكن  ب+ رجع  تاني  وخايفه  اموت  و+ انا  ب+ غضب  رب +نا سبحان +ه و+ تعالي  مع  ان +ي انا  حس +ه ان +ي قلب +ي مليان  و+ عامر  بنور  الله  اعمل  ايه  اجو +ك انصحني
1, من  هي  اصغيره  اغاني  و+ الله  انقلبت  ادني +ه
0, انت  واحد  حقير
0, تغني  و+ هي  متقرفه
0, طيب  انا  عايزه  اشوف  ال+ قصر
1, ال+ بنزين  يجي  من  ال+ سعوديه  ب+ اقل  ال+ اسعار  و  ال+ حكومه  عند +نا تدبل  سعر +ه
0, اللهم  اجعلنا  من +من تنظر  الي +هم ب+ حب  و  اشتياق  و  اجعلنا  من  عباد +ك ال+ توابين  ال+ مخلصين  ال+ عابدين  ال+ حق  ل+ دين +ك و  احفظ +نا و  قنا  نار  و+ قود +ها ال+ ناس  و  ال+ حجاره  يا  رب
1, حقا
1, اللهم  امليء  قلب +ي ب+ حب +ك
1, و+ الله  اول  واحد  سمعه +ه من +هم احسب  سماعتي  خربا  يابطني  من  ال+ ضحك  و+ الله  زاحفين
0, غبي  الله  يزيد  غبا +ك
0, ل+ لي  مفكرين  ال+ مفاعل  راح  يطور +هم -  ال+ مفاعل  راح  يدمر  ال+ اردن  و  ال+ منطقه  ال+ لي  حول +ها لان  ال+ فساد  ال+ موجود  ب+ ال+ اردن  مش  موجود  ب+ دول +ه اخري  و  هذا  يعني  ان  ال+ فاسدين  رايحين  يسمسروا  و  يلهفوا  ل+ ما  يوصلوا  اشكل  مفاعل  ل+ ال+ اردن  و  ناسين  ان  ال+ مفاعل  يحتاج  الي  ب+ حر  ماء  ل+ ال+ تبريد  و  نحن  ل+ انمل +ك ماء  ل+ ال+ شرب  و  ناسين  ان  ال+ تطور  يكون  ب+ مشاركه  ال+ جميع  و  ليس  ب+ قرار  فردي  و  ناسين  ان  الذي  اقر  ال+ مفاعل  هو  ال+ محتكر  ال+ اول  هيءه  ال+ طاقه  و  ان  شاغر +ها بقي  معلق  اثناء  فتره  تسلم  طوقان  وزاره  ال+ تربيه  و+ ال+ تعليم  ?  ?  ?  ل+ دول  ال+ متقدمه  بدات  تبحث  عن  بداءل  ل+ ال+ مفاعلات  و  اح +نا بنشتري  ال+ خربان  من +هم مشان  ال+ تقدم  و  بلد +نا ب+ فضل  الله  لدي +ها طاقه  ال+ رياح  و  طاقه  ال+ شمس  لماذا  لا  يتم  استغلال +ها بدل  ال+ مفاعل  ال+ نووي  طالما  اكل +نا معظم +ه فاسد  و  غير  صالح  ب+ سبب  ال+ جشع  و  ال+ طمع  و  ال+ فساد  .
0, ال+ حق  عالحقير  ال+ لي  نزل  ال+ منشور  ـ  ب+ جوز  اهل +ه لابسين  من +ه ـ  و+ ل +ك ل+ اتنزل  اشي  زي  هيك  يا  ?  ?  ?  !
0, ال+ فاتحه  علي  ارواح  ال+ غلابه
0, بصمات  راقيه  ل+ اديب  ال+ دعوه  محمد  ال+ غزالي
1, توكلت  علي +ك يا  الله
1, شاركوا +نا ال+ خير
1, ال+ مشاركين  بينو  ل+ ال+ ناس  ان +ه ال+ لي  قايمين  علي  ال+ برنامج  حمير
0, اعمل  ل+ يوم +ك و  غد +ك و  كن  متفاءلا  داءما  يا  صاحبي
1, واجعلنا  من  سكان +ها
1, دعوه  ال+ مءمن  ل+ اخ +ه ب+ ظهر  ال+ غيب  اسرع  من  ال+ برق
1, صدقت  و  الله  يا  شيخ
1, شو  بدو  بهالسحنه
0, لا  لا  لا  شي  مو  طبيعي
0, و+ الله  انو  نذل
0, جميل +ه اوي  اوي  اوي  يارب  ال+ كل  يحس  معني  ال+ كلام  ده
1, جامده  جد
1, و+ نعم  ب+ الله  ال+ علي  ال+ عظيم
1, اجمل  نابلس
1, يا  مقلب  ال+ قلوب  ثبت  قلوب +نا علي  ال+ اسلام
1, كل +ه علي  راس  ال+ مواطن  ما  يثير  ال+ سخريه  رفع  اسعار  المستقات  ال+ نفطيه  ال+ مستخدمه  في  ال+ صناعه  تقول  صناعه +نا مكسره  ال+ دنيا
0, ال+ عالم  ال+ عربي  متروس  عاهات
0, ال+ حب  ال+ ان  بقي  تيك  اواي  قليل  اوي  ل+ ما  نلقي  انسان  مخلص  في  حب +ه مع  ان  ال+ حب  ده  اجمل  و+ اسما  عاطفه  في  ال+ وجود
1, من  دون  ال+ تفاءل  ما  في  حياه
1, اللهم  ارزقنا  فعل  ال+ خيرات  و+ ترك  ال+ منكرات
1, عنجد  ال+ كذب  اكبر  ورطه
1, عنجد  ب+ خزي
0, و+ الله  هذا  الي  حصل  معي +نا و+ مع  ناس  كثيره  بدل  حب  ال+ حرام  ب+ حب  ال+ حلال  يبدل  الله  كيان +ك
1, اللهم  اذقنا  حبا  راءعا  حلالا  طاهر
1, و  الله  انو  مكب  نفايات  نوويه  و  انا  اشتغلت  ب+ ال+ مفاعل  و  موقع +ه ب+ علان  بالسلط
0, ال+ قدوه  ال+ حسنه  خير  من  ال+ نصيحه
1, بلد  يدير +ها اغبياء  و  حرامي +ه
0, جزي +ك الله  كل  خير  بسمه  امل  راءعه  و+ شيقه  جد
1," لو  اغلقت  ال+ ابواب  في  وجه +ك ,  و+ اظلمت  ال+ دنيا  ,  و  خنقه +ك ال+ دموع  ,  و  ضاقت  بك  ال+ ارض  ,  استحضر  معني  اسم  الله  ال+ فتاح  ال+ قادر  سبحان +ه قادر  علي  فتح  ما  انغلق  من  امر +ك"
1," ""  ل+ ال+ اسف  ال+ بعض  يعتقد  ان  ال+ مفاعل  ال+ نووي  س+ يحل  مشاكل +نا ال+ اقتصاديه  و  لكن  ال+ اردن  لا  يمتلك  موارد  ماليه  و  هذا  يعني  ال+ حاجه  ل+ شريك  اجنبي  ""  ""  كما  اعلنت  هيءه  ال+ طاقه  ""  ""  يملك  غالبيه  ال+ اسهم  كما  في  تركيا  علي  سبيل  ال+ مثال  و+ ذلك  يعني  ان  هذا  ال+ شريك  س+ يمتلك  ال+ جزء  ال+ اكبر  من  ال+ مفاعل  و+ لن  يكون  ملك  ل+ ال+ اردن  و+ ب+ ال+ تالي  س+ تقوم  ال+ حكومه  ايضا  ب+ دفع  تكاليف  ال+ كهرباء  ل+ ال+ مستثمر  و+ ب+ ال+ تالي  ال+ مفاعل  ال+ نووي  لن  يوفر  ل +ك ال+ كهرباء  ب+ سعر  قليل  """
0, الله  المستعان
1, ي  وجه  ال+ فطيره  .  .  قبل  تعيب  ال+ ناس  .  .  انظر  الي  حال +ك
0, لا  تحزن  ان  الله  مع +ك
1, ال+ دين  ال+ معامله  و  ليس  ب+ ال+ مظاهر
1, يلعن +ك نذل
0, شو  الاشي  الي  بيضحك  (  ما  ازنخك  )
0," ""  رح  اجتهد  ب+ ان +ي اكون  حلوه  يوم  عرسي  مش  اكون  متل  ال+ قرده  ""  ""  """
0, ربنا  يعين +نا علي  نفس +نا
1, احذف +ه ان +ي بجلس  احش  في +هم ل+ مين  اكفر
0, مرعب +ه
0, الله  يثبت  قلب +ك علي  دين +نا ال+ اسلام
1, اللهم  وفق +نا ل+ ما  تحب  و  ترضي  يا  رب
1, اكيد  لا  الله  لا  يحرم +نا من  هالنعمه  ال+ عظيمه
1, وش  في +ك معصب  !  !  خلاص  بعطيك  اللايك  الي  جاني  خ
0, مش  شايف  ال+ عالم  مش  ملاقي +ه ال+ خبز  .  كل  واحد  بشتغل  علي  سياره  رح  يوكل  هوا  و  ب+ ارتفاع  ال+ محروقات  ال+ اكل  و  ال+ شرب  رح  يرتفع
0, ال+ لقطه  الكزميديه  ب+ ال+ اخر  دم +ها تقيل
0, سبحان  الله  خالق  ال+ سماوات  و  ال+ ارض
1, و+ ادم  علي +نا يارب  نعمه  ال+ امن  و+ ال+ امان  و+ ساءر  بلاد  ال+ مسلمين
0, اللهم  لا  تكل +نا الي  انفس +نا طرفه  عين
1, قهروا +ني حرام
0, يا  ربي  شو  هالولد  و  الله  مجنون  مبيستحييش  متاكدين  انو  مغربي
0, اللهم  اجعلنا  من +هم
1, ال+ حكومه  قاعده  بتخبص  و  رايحين  يدمروا  ال+ بلد  الله  ينتقم  من +هم
0, لا  حول  و+ لا  قوه  الا  ب+ الله  اذا  اخذ  ما  اوهب  اسقط  ما  اوجب
0, ال+ حمد  ل+ الله  نامل  من  الله  ان  يمن  علي +نا ب+ ال+ هدايه
1, اصلن  صاحب  ال+ برنامج  ماخذ  شباب  ال+ امه  مصخره
0, ما  شاء  الله  جميل +ه جدا
1, اعلن  ال+ انسحاب  يا  حمار
0, يا  دم  ام +ك ال+ رخم
0, نفس +ي افهم  من  و+ ين  جاي  يا  ابن  ال+ كلب
0, روح  اكتب  اشي  زي  ال+ عالم  و  ال+ ناس  بدل  ما  انت  بتتهبل  هيك  و  بتتمسخر  يا  مسخره
0, و+ لا  ب+ قلو  بيض +ه
0, نعم
1, قصه  جميله  و  مهمه  جدا
1, غبي
0, يا  رب  نستغفر +ك و+ نتوب  الي +ك
1, يلعن  روح +ك
0, صحيح  كل  هالشغله  بس  قرار  و+ ب+ ظن  كل +نا قادرين  ناخده  اذا  استعنا  و+ توكل +نا ع  الله
1, الاء  اختصري  ماشي
0, اللهم  اتم  علي +نا مكارم  ال+ اخلاق
1," ""  ل+ ال+ اسف  ال+ بعض  يعتقد  ان  ال+ مفاعل  ال+ نووي  س+ يحل  مشاكل +نا ال+ اقتصاديه  و+ لكن  ال+ اردن  لا  يمتلك  موارد  ماليه  و+ هذا  يعني  ال+ حاجه  ل+ شريك  اجنبي  ""  ""  كما  اعلنت  هيءه  ال+ طاقه  ""  ""  يملك  غالبيه  ال+ اسهم  كما  في  تركيا  علي  سبيل  ال+ مثال  و+ ذلك  يعني  ان  هذا  ال+ شريك  س+ يمتلك  ال+ جزء  ال+ اكبر  من  ال+ مفاعل  و+ لن  يكون  ملك  ل+ ال+ اردن  و+ ب+ ال+ تالي  س+ تقوم  ال+ حكومه  ايضا  ب+ دفع  تكاليف  ال+ كهرباء  ل+ ال+ مستثمر  و+ ب+ ال+ تالي  ال+ مفاعل  ال+ نووي  لن  يوفر  ل +ك ال+ كهرباء  ب+ سعر  قليل  """
0, ك  فشلوا +ه مر +ه صدق  ان +هم دلوخ
0, ب+ الله  علي +ك ف+ ين  ال+ اناقه  في  ال+ ناس  ال+ لي  بتغني  دي
0, اللهم  ارزقنا  زوجا  صالحا  محبا  مثل
1, الله  وكيل +ك مشحطط  اهل  دابوق  و  دير  غبار  و  عبدون  و  منعم  علي  ال+ فقراء
0, و  يرزق +كم من  حيث  لا  تعلمون
1, ابي  اسمع +هم يغنون  احس +هم امرض  من  ذولا
0, انا  متشاءم  و  رح  اضل  متشاءم  حتي  ينزلوا  ال+ بنزين
0, لا  للناووي
0, انت +ه جميل  جدا  رب +نا يثبت +ك و+ اتمني  ان  كل  ال+ مسلمين  تكون  اخلاقيات +هم في  حياه +هم ال+ عاديه  قدو +ه و+ دعوا +ه ل+ كل  غير  ال+ مسلمين
1, اهلا  بيك  في  دين  الله  رب +نا يثبت +ك و+ يزيد +ك ايمانا  انا  فرحانه  بيك  كتير
1, و+ الله  تحشيش
0, شغل  مشغول  قرف  يع
0, يا  رب  قويني  علي  نفس +ي
1, ربنا  يوفق  ال+ جميع  علي  ال+ خشوع
1, ما  شاء  الله  ال+ عطله  ماثر  عليكوا  كتير  صبايا  ال+ كل  ب+ حك +ي حبيبتي  و+ حبي  وبلمدرسه  كل  واحد  بكشر  من  جهه
0, ال+ برنامج  فاشل  جدا
0, تم  تنفيذ  ال+ حكم  الي  في  ال+ رد  ال+ اول  و+ تم  اعدام  اول  راس  و+ ال+ باقي  ب+ ال+ طريق
0, اهبل  و+ لك
0, صار  بد +ها بطاريه  ال+ تقوي  شحن
1, وقف  قلبو  ل+ حسن  ال+ شافعي
0, يا  الله  ارحم  عبد +ك ال+ فقير  ال+ مسكين  و+ جميع  ال+ مسلمين  و+ ال+ مسلمات
1, ما  اجمل  ال+ كلام  و+ ال+ اروع  ان  نطبق +ه
1, يجب  علي  ال+ حكومه  ال+ عوده  ب+ ال+ توقيت  الي  ال+ ساعه  ال+ ثالثه
0, الله  يرزق +ها كل  مشتهي  يا  رب
1, ال+ ظاهر  عقل +ك تافه  من  اصحاب  ال+ عقول  ال+ مقفله
0, اللهم  قن +ي شر  نفس +ي
1, نرجو  من  الله  ان  يتقبل  صلات +نا رغم  ما  تمر  ب +ه بلد +نا من  ازمه  صار  ال+ واحد  خايف  علي  نفس +ه و  مستعجل  بصلات +ه و  انا  كلما  صليت  اعتبر +ها صلاه  مودع  ف+ يخشع  قلب +ي و  تدمع  عينا +ي
1, شو  عاجبك  في +ها متلا  ?  !  ل+ تكون  سياره +كم
0, و+ هذه  من  اكبر  ال+ مشاكل  التي  تءرق  ال+ شباب  في  هذه  ال+ ايام
1, ابلعن  والديتس  ي  الهبلا
0, و+ الله  لو  يجمعون +هم علي  شاطء  ال+ بحر  ال+ ميت  و+ يخلون +هم يصرخون  علي  ال+ يهود  و+ ل+ مده  30  ثانيه  .  .  ليهربون  ل+ قبرص  عن  طريق  ال+ بحر  .  .  سباحه
0, شكل +ها ملجلج +ه
0, اللهم  اكف +نا ب+ حلال +ك عن  حرام +ك
1, ما  احسن +هم الله  يكون  مع +هم
1, مرر +ه دلوع
0, قله  ادب
0, ارجو +ك يا  استاذ +نا ال+ فاضل  ادعيلي  ب+ ال+ نجاح  في  مسابقه  المجستير  ال+ عام  ال+ قادم  و+ ال+ شفاء  بارك  الله  في +ك
1, اللهم  رزق +نا مكارم  ال+ اخلاق
1, يسعد  اوقات +ك
1," ليش  ما  نتعلم  من  الي  صار  في  ال+ يابان  ,  و+ روسيا  ,  المانيا  الغت  نظره +ها في  بناء  مفاعلات  نوويه  و+ استخدام  ال+ طاقه  ال+ بديله  ."
0, ربي  يزيدن  ايمان  و+ تق +ه يارب
1, هاي  نتيجه  ان +ه ينحط  انسان  .  .  .  .  في  موقع  مسءولي +ه
0, سعودي  متهور
0, يا  رب  يكرم +نا ب+ اولاد +نا و  انا  داءما  بشجع  ابن +ي ان  يكون  ك+ ال+ جبل  الذي  لا  تهز +ه ال+ رياح  ال+ عاتيه
1, احلي  اشي  ال+ واحد  يوكل  ب+ دون  ما  يطبخ
1, لقد  اتحفتم +نا بلجوا +كم لجيبتنا  التي  انفجرت  ب+ فضل +كم و  ال+ فاسدين  يتنعمون  ب+ اموال +نا ف+ هل  اصبح  فاسدا  ل+ اعيش
0, حكي  فاضي
0, يع  يع  يع  قرف
0, فعلا  ان  ال+ طموح  هو  سر  ال+ نجاح
1, بعدين  ال+ اردن  تسبح  علي  بحر  من  ال+ نفط  و  ال+ صخر  ال+ زيتي  اشتغلو  في +ه ب+ ال+ اول  بيكفينا  100  سن +ه
0, ان  شاء  الله  هنكمل  مشوار  ال+ نجاح
1, ال+ موت  مع  ال+ ناس  رحم +ه .  .
1, انا  عرف  شيء  و+ الله  ب+ بك +ي اكتر  ما  ب+ ضحك
0, يا  سلام  علي  ال+ وفاء
1, هذا  ال+ لي  انت  فالح  في +ه بس  .  .  كيف  تختار  ضحايا +ك بالسرق  جعل  ال+ عاهه  تصيب +ك و+ ل+ اعاد  تطيب  من +ها ياولد  ال+ حرام
0, بلا  قرف
0, ال+ بيت  ال+ لي  في +ه فرح  و  سعاده  دايما  ب+ كون  متفاءل  و  سعيد  ب+ حاضر +ه و  مستقبل +ه
1, ايارب  يتقبل  من +نا
1, اهل  ال+ عقول  ب+ راحه  ام  نسيان +ك يابو  نسيان  صعب  و+ الله  صعب
0, بطلت  كتير  و+ كل  ما  ابطل  و+ التزم  مع  رب +نا ب+ رجع  تاني  و+ كل  اما  ارجع  ارجع  اكتر  من  ال+ اول
1, استعمار  شو  ياحمار  ابن  ال+ حمار  هدمت  ل+ بيوت  و+ شردت  ال+ شعب  يابن  ال+ زانيه  ال+ علويه  و+ ال+ شيعه  سوف  تسحقون
0, و+ الله  ال+ واحد  بيدعي  كثيرا  ان  رب +نا يجعل +نا في  طريق  مستقيم
1, بيه  الزناخه
