Feed,Sentiment
 اللهم  ما  اعنا  علي  ال+ تغير,Positive
 اللهم  مع +نا علي  طاعه +ك و+ رضا +ك و+ قوي  عذامءنا,Positive
 اللهم  نسال +ك ال+ سلامه  من  مثل  هذه  ال+ خيبه,Positive
 اللهم  نقي  نفوس +نا اجعلنا  ل +ك من  ال+ مخلصين  سرا  جهرا,Positive
" اللهم  هون  برد  ال+ شتاء  علي  عباد +ك ال+ مستضعفين  في  كل  مكان  ,  اللهم  انزل  دفء +ك و+ رحمه +ك علي  كل  فقير  لا  ماوي  ل +ه",Negative
 اللهم  وفق +نا ل+ ما  تحب  ترضي  يا  رب,Positive
 اللهم  يا  مجيب  من  دعا +ك اعنا  علي  تقوي +ك ب+ تقوي +ك وارزقنا  حسن  طاعت +ك و+ تمام  رضا +ك واغفرلنا  و+ ل+ والدي +نا و+ ل+ كل  من  ل +ه حق  علي +نا,Positive
 اللهم  يا  محول  ال+ احوال  حول  حالي  ان  احسن  حال,Positive
 ال+ لي  غني  عدول +ه محاول +ه استخفاف  دم  من  ال+ برنامج,Negative
 ال+ لي  لازم  يصير  اضراب  جميع  موظفي  ال+ دواءر  ال+ حكوميه  ال+ خاصه  ل+ مد +ه اسبوع  شوف  بعد +ها,Negative
 ال+ لي  لفت  انتباه +ي ال+ دبه  ال+ لي  جنب +ها,Negative
 ال+ ماء  اساس  ال+ حياه,Positive
 ال+ مال  ال+ اسود  جريمه  ب+ حق  ال+ وطن  و+ ال+ مستقبل,Negative
 ال+ مراه  تهان  و+ تعامل  كادا +ه جنسي +ه تحت  مسميات  عديد +ه كالمسيار  والمسفار  والمصياف  الخ  وكلو  بتمنو,Negative
 ال+ مراه  كل +ها عور +ه حتي  صوت +ها عور +ه,Negative
 ال+ مسلسلات  خربت  بيوت  ال+ عالم,Negative
 ال+ مسلم  ال+ فطن  ال+ نقي  يتصرف  ب+ ما  يرضي  الله  في  ال+ سر  ال+ علن  نسال  الله  عز  و+ جل  ان  نتبع  كل  ما  يرضي +ه عن +نا,Positive
 ال+ مشاركين  بينو  ل+ ال+ ناس  ان +ه ال+ لي  قايمين  علي  ال+ برنامج  حمير,Negative
 ال+ مشكله  في  ناس  تقنع  حال +ها ان +ه جورج  و+ سوف  ل +ه علاق +ه ب+ ال+ اغاني,Negative
 ال+ مشكله  ناس  ب+ تسمع  حال +ها ب+ ال+ حمام  هيه  وبتغني,Negative
 ال+ معني  ال+ حقيقي  ل+ عاهات +ك يا  وطن,Negative
 ال+ مغرب  بريء  من +ك علي  ال+ اقل  اذا  كنت  لهجه +نا صعب +ه ف+ تكلم  ب+ ال+ لغه  ال+ عربيه,Negative
 ال+ ملح  احسن  علاج  ل+ التهاب  ال+ حلق  و+ مفعول +ه اسرع  من  ال+ ادويه,Positive
 ال+ منتخب  ال+ ايطالي  عقيم  هجوميا  بعد  ماكان  منتخب  يخشي  هجوم +ه كل  ال+ منتخبات,Negative
 ال+ مهم  ال+ دعاء  في  ال+ سجود  حتي  تغسل  عيني +ك ال+ دموع,Positive
 ال+ مهم  هو  ال+ صادق  معي  ال+ ناصح  ل +ي,Positive
 ال+ مواساه  و+ ال+ محبه  ب+ كل  ال+ امور  رمز  ال+ اخوه,Positive
 ال+ موضوع  ما  اله  علاق +ه ب+ ال+ تخلف  بس  ل+ ما  تكون  ال+ اضرار  اكثر  من  ال+ فاءده  بلا  من +ه ا  ?  هم  من  هيك  ان +ه ال+ مفاعل  ب+ حاج +ه ل+ تبريد  داءم  ل+ ال+ اسف  و+ ين  المي  يلي  عن +نا ?  ?  ?  ?,Negative
 المومين  الي  بعض +هم ك+ ال+ بناء  ال+ زي  يشد  بعض +ه ال+ بعض,Positive
 ال+ نظافه  من  ال+ ايمان,Positive
 ال+ نقاش  ال+ عقلاني  ينتهي  يان +ك تقنع  ال+ شخص  يا  ان +ك تقتنع  اذا  ما  انتهي  ال+ نقاش  كذا  و+ ال+ لي  قدام +ك مصدي  ال+ حل  ال+ ثالث  تتفل  ب+ وجه +ه و  بكذا  يكون  انتهي  ال+ نقاش,Negative
 ال+ نيه  دايما  بتكون  موجود +ه و+ رب +نا ال+ معين,Positive
 ال+ واحد  عايش  وسط  قرف,Negative
 ال+ وحيد  الذي  لايتركني  و+ لو  لحظ +ه,Negative
 ال+ وفاء  اصبح  شء  نادر  يكاد  يكون  معدوم,Positive
 ال+ وفاء  في +ي غير  قلب +ك ما  لقيت,Positive
 الي  ابن  بشار  ال+ اسد  كس  اخت  ابو +ك,Negative
 الي  اعتصام  مفتوح  ميدان  تحرير  ل+ ال+ تخلص  من  قوي  ال+ فساد  ال+ افساد,Negative
 الي  جهنم  و+ بءس  ال+ مصير,Negative
 الي  يقارن  بين +ه و+ بين  مرسي  يبقي  متخلف,Negative
 الي  استحو  ماتو,Negative
 الي  انا  شايفو  انو  ال+ مفاعل  راح  ينعمل  في  ال+ اردن  راح  يخدم  دول  تاني +ه يعني  مش  عشان  سواد  عيونا,Negative
" الي +ك يا  رب +ي قلبا  لم  يستعن  ب+ سوي +ك ,  ياوي  الي +ك ل+ ترضي  و+ يهتدي  ب+ هدي +ك",Positive
 ا  لا  سلام  ليس  في +ه رهبانيه  انما +ما هو  دين  علم  و+ عمل  و+ بحث  و+ تطوير  .  .  .  و+ عندما +ما طبق +نا هذا  ال+ مبدا  سد +نا ال+ عالم,Positive
 اما  ال+ غبي  ال+ لي  يقلد  جورج  و+ سوف,Negative
 اما  في  ال+ دين  ف+ تصير  اخو +ه في  الله  و+ هي  ارقي  ال+ علاقات  ال+ انسانيه  ب+ صحيح  ال+ حديث  رب  اخ  لم  تلد +ه ام +ك,Positive
 اما  وهابيه +ك ف+ حدث  و+ لا  حرج  ال+ ناس  يقادون  الي  ال+ مساجد  غصبا  و+ يجلدون  ك+ ال+ ابقار  ان  هم  ابوا,Negative
 امشي  عدل  يحتار  عدو +ك في +ك,Positive
 املا  رءتي +ك ب+ عبق  ال+ سماء  مع  ولاده  صباح  جديد  تهتز  ل +ه ال+ حياه  تحتفل  ايقظ  عقل +ك ب+ ال+ نور  ابعث  همه +ك حي +ه متوثب +ه ل+ تطوي  نهار +ك في  فرح,Positive
 اموت  ب+ صوه +ها,Negative
 اموت  فيج  رويد +ه,Negative
 امير +ه ممكن  اضافه  لو  سمحتي,Positive
 امين  يا  رب  انت  شاب  زي  ال+ فل  ما  شاء  الله  علي +ك,Positive
 ان  ال+ معلم  الذي  يسعي  ل+ ال+ تطوير  و+ ال+ استزاده  هو  ال+ اقدر  علي  غرس  ال+ التزام  و+ ال+ طموح  في  طلاب +ه,Positive
 ان  ال+ جميل  اذا  اخفيت +ه ظهرا,Positive
 ان  ال+ دين  عند  الله  ال+ اسلام  هذا  هو  ال+ دين  الذي  يجب  ان  يعتنق +ه كل  انسان  علي  وجه  ال+ ارض  و+ ليس  ال+ عرب  فقط  اللهم  اهدي  غير  ال+ مسلمين  الي  دين  ال+ اسلام,Positive
 ان  الله  علي  كل  شيء  قدير,Positive
 ان  الله  لا  يتخل  عن  عباد +ه ابدا,Positive
 ان  الله  لا  يضيع  اجر  ال+ محسنين,Positive
 ان  الله  هو  ال+ رزاق  دو  ال+ قوه  ال+ متين,Positive
 ان  ال+ نجاح  يحتاج  الي  قلبا  ثابت  عقلا  راشد  طموحا  واعد  تحدي  كاسر,Positive
 ان  شاء  الله  رب +نا يعينا  علي  فعل  الطاعات,Positive
 ان  شاء  الله  هنكمل  مشوار  ال+ نجاح,Positive
 ان  شاء  الله  و+ رب +نا يعين +نا,Positive
 ان  شاء  الله  يتقبل  الله  صلاه +نا يزيد  في  صلات +نا ال+ خشوع,Positive
 ان  من  صفات  ال+ اسلام  ال+ امانه,Positive
 انا  ابو  عدول +ه هذا  لو  قدامي  صدق  ان +ي راح  العن  ابو  من  جاب +ه,Negative
 انا  احب  هذا  ال+ كاتب,Positive
 انا  اخدت  قرار  و+ بعدت  عن  معصيه  ل+ الله  و+ قدرت  و+ ربي  وفق +ني,Positive
 انا  اردني  ب+ قول  ال+ شعب  بيستاهل  غلا  اكثر  من  هيك,Negative
 انا  اشوف +ه ان +ه عادي  و+ لا  في +ه اي  معني  وايش  مليوني  مشاهد  و+ الله  ان +ه ما  يستحق  الي  هذا  ال+ حد  من  ال+ مشاهده  و+ بعدين  هاض  شي  مقزز,Negative
 انا  اقدر  ال+ اخلاص  ال+ وفاء  ب+ شكل  كبير,Positive
 انا  ال+ وحيده  الي  احس  طعم  الببسي  كن +ه حديد  مصد +ي,Negative
 انا  انجنيت,Negative
 انا  انصح  كل  انسان  ان  لايكذب  لان  ال+ كذب  مدي +ه قصير,Positive
 انا  ب+ حب  كل  ال+ ناس  بتمنالهم  ال+ خير,Positive
 انا  بدات  اتحرك  شاركت  ب+ فكر +ه س+ تغير  ال+ كثير  من  واقعن,Positive
 انا  ب+ كره +ك,Negative
" انا  توجيهي  سعودي  و  ب+ درس  ب+ جامع +ه من  احسن  جامعات  ال+ اردن  ,  و  ال+ شعب  قاعد  يعيد  توجيهي  و  يرسب  من  و+ ري  ال+ وزير",Negative
 انا  حاسه  ان +ه قلب +ي مليان  و+ عامر  بنور  الله,Positive
 انا  خليني  ساكت +ه احسن,Negative
 انا  دايما  فرحان  مش  ساءل  ب+ ال+ دنيا  ال+ حمد  ل+ الله,Positive
 انا  دمرت  انا  دمرت  مستقبلي  ضاع  و+ ما  معي  اكل  خبز  شو  هالحياه  شو  هالقرف  مش  حيا +ه ال+ حياه  كل +ها ظلم  ما  في  شغل  ال+ اردن,Negative
 انا  شوفت  وقاح +ه بس  زاي  وقاح +ه ال+ اخوان  ما  شوفت,Negative
 انا  ضد  ال+ نووي  ك+ ال+ اردن  ال+ بحث  عن  مصادر  ل+ ال+ طاقه  ال+ نظيفه  خصوصا  ان +نا نفتقر  ل+ ال+ ماء  و  ال+ اجدي  ب +نا ايضا  ان  نبحث  عن  سبل  ل+ حل  مشكل +ه ال+ مياه  ب+ ال+ مبالغ  التي  س+ تصرف  علي  ال+ مفاعلات  ال+ نوويه,Negative
 انا  عرف  شيء  و+ الله  ب+ بك +ي اكتر  ما  ب+ ضحك,Negative
 انا  علي  ثقه  ان +ي استطيع  فعل  اي  شء  ان +ي انا  من  صنع  الله,Positive
 انا  فعلا  عملت  كد +ه والحمدلله  بقيت  احسن  من  غير  الحجات  الي  رب +نا خد +ها من +ي الحمدلله,Positive
 انا  فعلا  قررت  واخدت  ال+ قرار  ده  و+ حاسه  براح +ه و+ سعاده  كبير +ه اوي  ب+ قربي  من  رب +نا ب+ جد  ال+ حمد  ل+ الله,Positive
 انا  فعلا  مءمن  ب+ ال+ فكره  دي  جدا  وبحاول  انفذ +ها,Positive
 انا  كل  يوم  اقول  غدا  سوف  اصلي  لكن  لا  اقدر  انا  ادعوا  الله  داءما  ان  يهدي +ني ارجو  من  من  يملك  حل  مراسلتي,Positive
 انا  لا  احلم  ان  اغير  ال+ عالم  و+ لكن  احلم  ب+ ان  استطيع  ان  ارسم  ال+ بسمه  علي  وجوه  ال+ اخرين,Positive
 انا  لاحظت  ال+ لبنانيين  ان +هم ماعندهم  روح  ال+ كوميديا  نهاءيا,Negative
 انا  ل+ الله  انا  الي +ه راجعون  الله  يستر  هالبلد,Negative
 انا  لو  مكان  راغب  اروح  انتحرر,Negative
 انا  ما  اغيب  الا  اذا  كرهت  ان +ي ابقي  راجع  افعال +ك قبل  كل  حاج +ه,Negative
 انا  متاكده  انو  هذولي  مدفوعلهم  علشان  يجون  يغنون  ل+ انو  مافي  ناس  مهابيل  لهالدرجه,Negative
 انا  متشاءم  رح  اضل  متشاءم  حتي  ينزلوا  ال+ بنزين,Negative
 انا  مش  مسءول  عن  ال+ حراميه  يتفنجرو  ب+ مصاري  ال+ بلد  انا  اشحد,Negative
 انا  مع  ال+ اخ  محمد  سلامه  بهالموضوع,Negative
 انا  مع +ك ب+ ان  دين  ال+ اسلام  ل+ كل  ال+ ناس  و+ في  كل  زمان  و+ مكان,Positive
 انبسط  يا  عم  افرح,Positive
 انت  ما  تستحي  تقارن  ال+ قران  ب+ وحد +ه ساقط +ه انعل  ابو +ك لا  ابو  ال+ ملحد,Negative
 انت  ما  شفت  ال+ نسخه  ال+ اوروبيه  و+ ال+ امريكيه  و+ ال+ ماليزيه  من  نفس  ال+ برنامج  في +ها ب+ لاوي  اكثر  من  كذا  بس  حنا  ال+ عرب  في +نا عقد +ه ال+ نقص  و+ ال+ تخلف,Negative
 انت  مو  انت  انت  جوعان  كل  شوكولاته  افرح,Positive
 انت  واحد  حقير,Negative
 انت  واحد  عنجد  قليل  ادب  الله  يموت  الي  امثال +ك,Negative
 انت  واحد  ما  بتستا  هل  ال+ جزمه,Negative
 انت  يا  دكتور  خير  اخ  رب +نا يزور  علي +ك,Positive
 انتخب  مين  يا  عم  هي  ناقص +ه لبخ +ه في  ال+ كلام  معتش  الا  ال+ اهبل  ده  كمان  يبقي  رءيس  جمهوري +ه,Negative
 انتم  يا  قطري +ه شن  عارف +كم ال+ سياسه  انتم  لاعندكم  جيش  و+ لا  استراتجيه  ثابت +ه انتم  عملاء  امريكا  يا  خونه,Negative
 انت +ه جميل  جدا  رب +نا يثبت +ك و+ اتمني  ان  كل  ال+ مسلمين  تكون  اخلاقيات +هم في  حياه +هم ال+ عاديه  قدو +ه و+ دعوا +ه ل+ كل  غير  ال+ مسلمين,Positive
 انت +ه و+ المع +ك كل +هم سافلين  و+ وقحين,Negative
 انتو  كلاب  از +ي تسو  ال+ مصحف  ب +ي كلاب +ه زي  ده,Negative
 انتي  عنجد  بنت  فاشل +ه,Negative
 اندهش  ل+ ما  عرف  ال+ حقيقه,Negative
 انسان  غريب,Negative
 انشاء  الله  نكون  راضين  ب+ قضاء  الله  لكن +نا نرجو  من  الله  ال+ لطف  في +ه,Positive
 انشاء  الله  هنعمل  حاجه  تفتخرو  في +ها,Positive
 انشالله  انو  يطلع  كلام  فاضي  ل+ انو  اذا  ضربت  سوريا  ال+ اردن  رح  اتصير  حرب  عالمي +ه ثالثه  و+ ما  رح  اتخلص  غير  ل+ ما  نتخزق,Negative
 انما +ما ال+ مءمنون  اخو +ه فاصلحو  ذات  ال+ بين,Positive
 انما +ما بعثت  ل+ اتم  مكارم  ال+ اخلاق,Positive
 ان +نا نعيش  في  زمن  بلا  رحم +ه,Negative
 ان +ي كوم +ه من  ال+ قلق  و+ ال+ رجفه  اكثر  من  كوني  انسان,Negative
 ان +ه دين  يسر  و+ ليس  بدين  عسر,Positive
 ان +ه غير  مسلم  و+ يعرف  قلب +ه ال+ وفاء  ف+ كيف  حال  ال+ مسلمين  اللهم  ارزق  بنات  ال+ مسلمين  زوجا  طيبا  محبا  مثل +ه,Positive
 ان +ي احب +ك في  الله,Positive
 اه  لو  لا  ال+ قران  ل+ قلت  ان  انكر  ال+ اصوات  ل+ هذه  ال+ اصوات,Negative
 اه  يا  ابو  ال+ قمل,Negative
 اه  ياشويه  عاهات,Negative
 اهل  ال+ عقول  ب+ راح +ه ام  نسيان +ك يابو  نسيان  صعب  و+ الله  صعب,Negative
 اهلا  بك  في  دين  ال+ حق  و+ ال+ سلام,Positive
 اهلا  بيك  في  دين  الله  رب +نا يثبت +ك و+ يزيد +ك ايمانا  انا  فرحانه  بيك  كتير,Positive
 اهلا  و+ سهلا  ب+ شخص +ك ال+ كريم,Positive
 اهلا  و+ سهلا  بك  بين +نا يا  طارق,Positive
 اهم  اشي  اكون  مبسوط,Positive
 اهم  شي  ال+ واسطه  و+ ال+ مظهر  ال+ خارجي,Negative
 اهما  ود +هم يروحون  ال+ نار  لكن  ال+ نار  مارضت  في +هم,Negative
 اوسخ  شي  ال+ مناديل,Negative
 اوغاد  باعو  ال+ بلد,Negative
 اوقف  ال+ قرار  ل+ ال+ حفاظ  علي  ال+ وطن,Negative
 اول  واحد  ذكر +ني ب+ صاحب  اسم +ه قرد +ه,Negative
 اي  الله  صحيح  اهم  شي  ال+ انسان  كرامه +ه,Positive
 اي  تفاءل  هاد  يا  زلم +ه روح  تشاءم  احسلك,Negative
 اي  تقدم  اي  ازدهار  مفاعل  ال+ نوويه  ب+ عمل  ال+ امراض  كثير  اهم  ال+ سرطان  الله  يبعد +ه عن +ها انا  مع +هم رفض  ال+ مفاعل  ال+ نوويه,Negative
 اي  و+ الله  سوبر,Negative
 ايس  شراع  ال+ قرف,Negative
 اين  ذهبوا  ال+ علماء  و+ ال+ مخترعين  و+ ال+ مفكرين  جرب  في  جرب,Negative
 ايه  ال+ احساس  ال+ راقي,Positive
 ايه  ال+ هبل  دا,Negative
 ايه  راح +ه في +ها ال+ مسكين  ياحرام,Negative
 ايها  ال+ صغار  المتناكفون  ان +كم مع  كل  منشور  ضد  بعض +كم ال+ بعض  تصغرون  اكثر  من +ما انتم  صغار  ف+ لا  يسلك  هذا  ال+ طريق  الا  صغير  ساذج  يحب  ان  يعيش  علي  القذارات,Negative
 ايوه  هيك  بدنا  ياكم  يا  شباب  بترفعو  ال+ راس,Positive
 ب+ اذن  الله  بديت  و+ لو  مءخرا  ب+ نفسي  ال+ حمد  ل+ الله,Positive
 بارد  و+ مصقع,Negative
 بارك  الله  في  دين  ال+ اسلم,Positive
 بارك  الله  في  كاتب +ها,Positive
 بارك  الله  في +ك انا  نضال  فدعولي  ب+ زوج +ه صالح +ه,Positive
 بارك  الله  في +ك نتمني  ال+ مزيد  من  ال+ نصاءح,Positive
 بارك  الله  ل +كما و+ بار +ك علي +كما و+ جمع  بين +كما علي  خير,Positive
 ب+ الله  تسكتوا  خلي +نا ب+ حال +نا بدناش  مشاكل  ايه,Negative
 ب+ الله  علي +ك ف+ ين  ال+ اناقه  في  ال+ ناس  ال+ لي  بتغني  دي,Negative
 ب+ الله  علي +كم الم  تستحيوا  من  انفس +كم قبل  قدوم +كم الي  هذا  ال+ برنامج  ثم  الم  تعلموا  ان  هناك  مسابقات  ل+ انكر  ال+ اصوات  في  قناه  اخري,Negative
 ب+ الله  يا  شباب  وش  راي +كم ب+ ال+ اشكال  هذه  هل  تتوقعون  اهل +هم كارهينهم  و+ ال+ ناس  تجي  ل+ اهالي +هم و+ تقول  ل +هم حرام  علي +كم هذول  من  دم +كم,Negative
" ب+ ال+ مناسبه  انا  مءدب  جدا  ,  لا  احتسي  ال+ كحول  و+ لا  ابحث  عن  علاقات  مشبوه",Positive
 بتخافي  حد  ياخد  مكان +ك مع  ان +ك مالكيش  مكان  اصلا,Negative
 ب+ تقول  كلام  زي  ال+ فل,Positive
 ب+ تمني  لو  ان  تقوم  بعث +ه ل+ ال+ دعاه  من  مصر  تزور  جميع  ال+ بلاد  تعرف +هم تشرح  ما  هو  ال+ دين  ال+ اسلامي  تنشر  ب+ حق  في  كل  مكان,Positive
 ب+ جد  رب +نا يبارك  في  كلمات +ك ب+ توصل  و+ الله,Positive
 ب+ جد  موضوع  راءع  و+ انا  اجد  ان +ه مناسب  ايضا  ل+ هذا  ال+ وقت  يارب  احفظ +نا من  جميع  ال+ فتن,Positive
 بدع +ي علي  طول  ب+ ان  الله  يرزق +ني ال+ خشوع,Positive
 بد +ك ال+ صراحه  ب+ دون  زعل  جهنم  ال+ زبانيه  من  ال+ ملاءكه  تنتظر +ك تموت  ل+ تشرب  من  فروج  ال+ مومسات  صديد  اهل  ال+ نار  ان  شاء  الله  يا  اوباش  سوريا,Negative
 بدكو  تخلوا +نا نشحد,Negative
 بد +ي اروح  عمر +ه الله  ييسر,Positive
 برامج  سخيف +ه تهدف  ل+ هدم  ال+ امه,Negative
 برك  الله  في +ك و+ جعل +ها في  مزان  حسناتيك,Positive
 برلمان  المانيا  يقر  ب+ اغلبي +ه كبير +ه ال+ تخلي  عن  ال+ طاقه  ال+ نوويه  حتي  2022  ال+ اردن  يطرح  عطاءلانشاء  محط +ه طاق +ه نوويه  الله  لا  يطعم +نا ال+ حج  و+ ال+ ناس  مروحه,Negative
 برنامج  ساقط,Negative
 برنامج  فاشل  جدا,Negative
 برنامج  قديم,Negative
 برنامج  معوق  و+ مشاركين  معوقين  :,Negative
 بس  اكيد  وري +ها مصلح +ه,Negative
 بس  ال+ حكام  ماعندهم  ذوق  ل+ ال+ اسف,Negative
 بس  الله  لا  يسامحكم  تلقوا +ها ب+ صحه +كم ان  شاء  الله,Negative
 بس  ال+ لي  قاهرني  ال+ لي  ما  ينطقون  حرف  ال+ راء  التغ  من  جد +هم جايين  يبون  يغنون,Negative
 بس  مقزز,Negative
 ب+ سعد  رب +ك و+ صباح +ك عسل  انت  و+ كل  من  قال  انا  اردني  و+ ب+ حب  ال+ قياده  ال+ هاشميه  و+ تراب  ال+ اردن  و+ س+ نح  ال+ اخوان  و+ ل+ اد  كلب  علي  هالصبح,Negative
 ب+ سم +ه امل  حلو +ه,Positive
 ب+ صفحات  ال+ فيزا  علي  جواز  ال+ سفر  حاطين  صور  اثار  ال+ اردن  عاساس  هيك  بس  اشوف +هم رح  احن  و  ابطل  اسافر,Negative
 بصمات  راقيا +ه ل+ اديب  ال+ دعوه  محمد  ال+ غزالي,Positive
 بطلت  كتير  و+ كل  ما  اترك  و+ التزم  مع  رب +نا ب+ رجع  تاني  و+ كل  اما  ارجع  ارجع  اكتر  من  ال+ اول,Positive
 ب+ طن +ي وجعت +ني من  ال+ ضحك,Negative
 بعد  عقود  مرض  ال+ كلب  و+ استبشر +نا نحن  ال+ شعب  اخيرا  مات  ال+ كلب  و+ اصبح  ابن  ال+ كلب  رءيسا  ب+ ال+ اجماع,Negative
 بعد  عن  ال+ تشاءم  و+ عيش  يوم +ك ب+ ال+ تفاءل  ل+ غد  احلي,Positive
 بعد +ك ما  شفت  اشي,Negative
 بعدين  ال+ اردن  تسبح  علي  بحر  من  ال+ نفط  ال+ صخر  ال+ زيتي  اشتغلو  في +ه ب+ ال+ اول  بيكفينا  100  سن +ه,Negative
 بعدين  حتي  ال+ دول  الي  اعلنت  انهاء  ال+ مفاعلات  ال+ نوويه  زي  ال+ يابان  تراجعت  عن  قرار +ه,Negative
 ب+ عرف  بس  مو  حلو,Negative
 ب+ عرف  حكايات  مليانه  عاهات  مثل +كم مجانين  يا  صيدات  جورج  و+ سوف,Negative
 بعض  ال+ اصدقاء  يشبهون  ال+ مطر  في  قدره +هم علي  تعديل  ال+ مزاج  هءلاء  من  احتاج +هم ب+ قربي,Positive
 بعن  الله  ابو +ك انت  و+ عدول +ه يالسامج,Negative
 ب+ عين  الله  يا  امال  كل +هن ستين  سبعين  سن +ه و+ ب+ مضن  وبتهون,Negative
 ب+ قرف  زي +ك,Negative
 ب+ قطع +كم شو  حقودين,Negative
 ب+ كتب  اوراق  ال+ شجر  يقول  موهبتي  و+ انا  صغير  الله  يسامح  ال+ لي  كاذب  علي +ه,Negative
 بكر +ه واحد  من +هم بينتحر  لم  يضحكو  علي +ه,Negative
 بلا  هم  بلا  وجع  راس  خليك  رايق  دايما,Positive
 بلد  يدير +ها اغبياء  حرامي +ه,Negative
 بنحاول  في  كل  مر +ه نكون  افضل,Positive
 ب+ نص  ال+ مقطع  سقاله  موطبيعيه,Negative
 بني  ال+ برنامج  ال+ نووي  ال+ اردني  علي  عد +ه تصورات  خاطء +ه ب+ شكل  خطير  تتعلق  ب+ ال+ تكنولوجيا,Negative
 بوركت  جهود +ك و  سلمت  انامل +ك,Positive
 بياعين  شرف,Negative
 بيجيبو  ال+ شيوخ  ليسهز  في +هم,Negative
 بيه  الزناخه,Negative
 تابعت  هذا  ال+ جوال  من  ب+ داي +ه صدور +ه و+ قبل  اقتراب +ه ل+ ال+ عالم  ال+ عربي  فعلا  يستحق  كل  هذه  ال+ اهميه,Negative
 تاثير  ال+ غرب  مبين  علي  ال+ عرب  ال+ مجانين,Negative
 تافهين  جدا,Negative
 تايم  لاين  اردني  واعي  و+ مثقف  لفت  انتباه  زين  ال+ اردن  ل+ تغيير  محتوي  تغريدتها  شكرا  ل+ احترام +كم ال+ راي  ال+ عام  في  ال+ اردن,Positive
 تبا  ل +كم,Negative
 تبارك  ال+ رحمن  اللهم  زد  في +نا و+ بار +ك ل +نا يارحم  الرحمين,Positive
 تبت +نا ياربن  علي  دكرك  و+ شكر +ك حسن  ال+ خشوع  في  صلاه +ك,Positive
 تبون  تقنعوا +نا ان +كم تخافون  علي  صحه  ال+ مدخن  وعلشان  كذا  رفعتوا  ال+ سعر  .  .  بيشترونه  و+ لو  ب  100  دينار  وبيدخنون  و+ لو  ب+ عظم  و+ ورق  شجر,Negative
 تحطم  ماتبقي  من  اطياف +ي,Negative
 تحي +ه ل+ اهل  فلسطين  ال+ غاليه,Positive
 تحي +ه محب +ه و+ سلام,Positive
 تخسا  هما  و+ كل  واحد  ب+ شد  علي  يد +هم مشكلتو  شعب  سوري  يدعون  ال+ براء  و+ هم  في  قم +ه ال+ نذاله,Negative
 تدرون  يا  جماع +ه ال+ خير  ان +ها بتتعدب  و+ الله,Negative
 تذكر  من  كذب  يكتب  عندا  الله  كاذب  لا  اله  الا  الله  اما  من  يتحري  ال+ صدق  يكتب  عندا  الله  صادقا,Positive
 ترتيب  و+ نظام  منقطع  ال+ نظير  في  احدي  مدارس  ال+ اناث  ب+ قطاع  غزه,Positive
 تركنا  كل  شء  من  اجل  رضا  الله  اللهم  ارضي  عن +نا,Positive
 تري  هاي  فاهمه  موضوع  ال+ وطنيه  غلط  تري  مش  ل+ حال +ك اردنيه  و+ الله  اعلم  اذا  ان +ك اردنيه  اصلا  شغل  سوالف  حصيد +ه,Negative
 تسلم  انت  و+ افكار +ك,Positive
 تسلم  صرمايه +ك,Negative
 تضحك  كان +ها مفجوع +ه من  شيء,Negative
 تضرب  من +ك ل+ عدول +ه,Negative
 تعليم  ال+ اطفال  علي  ال+ اغاني  و+ علي  ال+ رقص  بدل  من  تعليم  ال+ قران  ال+ كريم  بدل  من  تعليم  ال+ دين  الله  لا  يوفق +كم,Negative
 تغني  و+ هي  متقرفه,Negative
 تفاءلوا  ب+ ال+ خير  تجدوا +ه اعملوا  ال+ صالحات,Positive
 تف +ه علي +ك وع  شكل +ك اول  ما  نشهرت  طلقت  زوج +ها خنزير +ه,Negative
 تفو  كس  ام +ك حمار +ه,Negative
 تقول  داخل +ه في +ها ترل +ه انحولت  مع  ال+ اغنيه,Negative
 تكالبت  علي +ه ال+ كلاب  و+ لم  تسمح  ل +ه ب+ ال+ بروز  بعد  ال+ برنامج,Negative
 تليفيزيون  ال+ مستقبل  صار  سيء  ل+ ال+ غايه  ما  ادري  ليش,Negative
 تم  تنفيذ  ال+ حكم  الي  في  ال+ رد  ال+ اول  و+ تم  اعدام  اول  راس  و+ ال+ باقي  ب+ ال+ طريق,Negative
 تماما  اللهم  لا  تحرمنا  ال+ صدق  في  ال+ كلام,Positive
 تنظرون  لا  ال+ شام  يقتلون  ب+ دم  بارد,Negative
 توكلت  علي +ك يا  الله,Positive
 تويتر  صاير  ممل,Negative
 تءلم +ني ب+ اسم  ال+ حب,Negative
 تيس  مابفهم,Negative
 ثبت +ك الله  يا  استاذ +ي و+ نصر +ك,Positive
 ثقيلين  دم  كثير,Negative
 ثكلتك  ام +ك,Negative
 جابو  ال+ مسخره  ل+ نفس +هم الله  لايردهم,Negative
 جامع +ه ال+ علوم  و+ ال+ تكنولوجيا  ال+ اردنيه  افضل  من  92.7  %  من  جامعات  ال+ عالم  و  98.2  %  من  جامعات  ال+ وطن  ال+ عربي  طبقا  ل+ تصنيف  ويب,Positive
 جد  اشي  ب+ خزي,Negative
 جزي +ك الله  خيرا  ياستاذ  مصطفي  علي  ماتبثه  في  انفس +نا رب +نا يكثر  من  امثال +ك,Positive
 جزي +ك الله  كل  خير  ب+ سم +ه امل  راءع +ه و+ شيق +ه جد,Positive
